127.0.0.1, 2016-10-14 15:51:57, GET, /, HTTP/1.1, 303, 0.005086
127.0.0.1, 2016-10-14 15:51:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.304755
127.0.0.1, 2016-10-14 15:51:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003322
127.0.0.1, 2016-10-14 15:51:58, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.004208
127.0.0.1, 2016-10-14 15:51:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002774
127.0.0.1, 2016-10-14 15:51:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002329
127.0.0.1, 2016-10-14 15:51:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003298
127.0.0.1, 2016-10-14 15:51:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.005347
127.0.0.1, 2016-10-14 15:51:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.096943
127.0.0.1, 2016-10-14 15:51:58, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.097383
127.0.0.1, 2016-10-14 15:51:58, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.094738
127.0.0.1, 2016-10-14 15:51:58, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.094855
127.0.0.1, 2016-10-14 15:51:58, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001432
127.0.0.1, 2016-10-14 15:51:58, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000906
127.0.0.1, 2016-10-14 15:51:59, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001707
127.0.0.1, 2016-10-14 15:51:59, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.003998
127.0.0.1, 2016-10-14 15:51:59, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.003033
